name,value,domain,path,expiry,httpOnly,secure,url
kampyleSessionPageCounter,1,www.falabella.com.pe,/,1757351162.0,False,True,https://www.falabella.com.pe/falabella-pe/
kampyleUserSessionsCount,1,www.falabella.com.pe,/,1757351162.0,False,True,https://www.falabella.com.pe/falabella-pe/
kampyle_userid,e5fa-c2f1-e5d7-224e-448f-d7e7-4290-22ca,www.falabella.com.pe,/,1757351162.0,False,True,https://www.falabella.com.pe/falabella-pe/
AMCV_867134FA53CCF4BE0A490D44%40AdobeOrg,MCMID|04574288970898005603488060685437591621,.falabella.com.pe,/,1759511162.0,False,True,https://www.falabella.com.pe/falabella-pe/
s_ppv,falabella%2520home%2C8%2C8%2C441%2C1%2C13,.falabella.com.pe,/,,False,False,https://www.falabella.com.pe/falabella-pe/
s_tp,5784,.falabella.com.pe,/,,False,False,https://www.falabella.com.pe/falabella-pe/
contextID,e09c3ee1fda13c2a0437293b27cb6ec6,.falabella.com.pe,/,1757351160.0,False,False,https://www.falabella.com.pe/falabella-pe/
_vis_opt_s,1%7C,.falabella.com.pe,/,1734455160.0,False,False,https://www.falabella.com.pe/falabella-pe/
s_nr365,1725815161148-New,.falabella.com.pe,/,1757351161.0,False,False,https://www.falabella.com.pe/falabella-pe/
_vwo_ds,3%241725815157%3A27.28061653%3A%3A,.falabella.com.pe,/,1728407159.0,False,False,https://www.falabella.com.pe/falabella-pe/
__rtbh.lid,%7B%22eventType%22%3A%22lid%22%2C%22id%22%3A%22A053SCEeaeL09eMlTpi8%22%7D,www.falabella.com.pe,/,1757333157.0,False,False,https://www.falabella.com.pe/falabella-pe/
_fbp,fb.2.1725815159043.148657295866962218,.falabella.com.pe,/,1733591159.0,False,False,https://www.falabella.com.pe/falabella-pe/
_dc_gtm_UA-163888799-1,1,.falabella.com.pe,/,1725815218.0,False,False,https://www.falabella.com.pe/falabella-pe/
_vwo_sn,0%3A1%3A%3A%3A1,.falabella.com.pe,/,1725816960.0,False,False,https://www.falabella.com.pe/falabella-pe/
_tt_enable_cookie,1,.falabella.com.pe,/,1759511159.0,False,False,https://www.falabella.com.pe/falabella-pe/
mdLogger,false,www.falabella.com.pe,/,1757351162.0,False,True,https://www.falabella.com.pe/falabella-pe/
userSessionId,NWVlN2U5MjE3MGE5NDA5Y2JmY2Y2NGFmNmRjMGEyYzEtMTcyNTg1ODM1OTEwNg==,.falabella.com.pe,/,1725901559.0,False,False,https://www.falabella.com.pe/falabella-pe/
session_id_fl_,"1725815154153.cmqqp2pg,1725815154162",.www.falabella.com.pe,/,,False,True,https://www.falabella.com.pe/falabella-pe/
_vwo_uuid_v2,DA4AEB08532C96304197606CA31D15BE8|6274cbfd060ac99a14b476e0cf78f714,.falabella.com.pe,/,1757437558.0,False,False,https://www.falabella.com.pe/falabella-pe/
asid,5ee7e92170a9409cbfcf64af6dc0a2c1-1725858359106,.falabella.com.pe,/,1725858359.0,False,False,https://www.falabella.com.pe/falabella-pe/
_gid,GA1.3.1361667239.1725815159,.falabella.com.pe,/,1725901558.0,False,False,https://www.falabella.com.pe/falabella-pe/
_vis_opt_test_cookie,1,.falabella.com.pe,/,,False,False,https://www.falabella.com.pe/falabella-pe/
_ga,GA1.3.592457790.1725815157,.falabella.com.pe,/,1760375158.0,False,False,https://www.falabella.com.pe/falabella-pe/
gpv_URL,https%3A%2F%2Fwww.falabella.com.pe%2Ffalabella-pe,.falabella.com.pe,/,1725816961.0,False,False,https://www.falabella.com.pe/falabella-pe/
_ga_FFJD2T07QE,GS1.1.1725815156.1.0.1725815156.60.0.0,.falabella.com.pe,/,1760375156.0,False,False,https://www.falabella.com.pe/falabella-pe/
abtasty_script,0,www.falabella.com.pe,/,,False,False,https://www.falabella.com.pe/falabella-pe/
vwo_script,0,www.falabella.com.pe,/,,False,False,https://www.falabella.com.pe/falabella-pe/
kndctr_867134FA53CCF4BE0A490D44_AdobeOrg_identity,CiYwNDU3NDI4ODk3MDg5ODAwNTYwMzQ4ODA2MDY4NTQzNzU5MTYyMVISCN2K5pSdMhABGAEqA1ZBNjAA8AHdiuaUnTI=,.falabella.com.pe,/,1759943162.0,False,True,https://www.falabella.com.pe/falabella-pe/
_vwo_uuid,DA4AEB08532C96304197606CA31D15BE8,.falabella.com.pe,/,1757372111.0,False,False,https://www.falabella.com.pe/falabella-pe/
__CONTENT_exp,ct-14,.falabella.com.pe,/,,False,False,https://www.falabella.com.pe/falabella-pe/
_ttp,ZRDBz-AAC10Ti1R3j_C9DuSOh7S,.falabella.com.pe,/,1759511159.0,False,False,https://www.falabella.com.pe/falabella-pe/
_cfuvid,BX6MbU3B4kj9u2DEaU2nqADhqc3.Tffjh5IW8x_gfbo-1725815152110-0.0.1.1-604800000,.falabella.com.pe,/,,True,True,https://www.falabella.com.pe/falabella-pe/
brand_experience,MARKETPLACE,www.falabella.com.pe,/,1725818752.0,False,False,https://www.falabella.com.pe/falabella-pe/
kampyleUserSession,1725815162951,www.falabella.com.pe,/,1757351162.0,False,True,https://www.falabella.com.pe/falabella-pe/
